hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
1E-04,48.8426,space,48.8072,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,48.8428,68.4569,space,19.5893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,68.4623,68.9476,68.948,73.9552,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,73.9555,74.4328,74.4332,75.9275,j,0,1,1,2,1,__,1,j,w49.png,1.4271,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,75.9278,76.4169,76.4172,77.4771,j,0,2,2,0,1,__,1,j,w40.png,0.9994,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,77.4775,77.9772,77.9775,82.9767,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,82.9769,84.9501,space,1.9475,,,,,,,,,,,,,,,,,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,84.9559,85.4535,,,,,,,,,,0,f,w59.png,,,,,,,,85.4539,87.4073,f,1,1.9155,,0,0,0,48,1,filler_假詞,,,貓快,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,87.4076,87.9081,,,,,,,,,,0,f,w64.png,,,,,,,,87.9084,89.5951,f,1,1.6521,,0,1,1,53,1,filler_假詞,,,莖白,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,89.5953,90.0975,,,,,,,,,,0,f,w60.png,,,,,,,,90.0979,91.035,f,1,0.8966,,0,2,2,49,1,filler_假詞,,,豬力,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,91.0352,91.5103,,,,,,,,,,0,f,w90.png,,,,,,,,91.5107,93.1001,j,0,1.5237,,0,3,3,79,1,filler_假詞,,,失務,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,93.1005,93.5862,,,,,,,,,tē-miâ/tuē-miâ,1,j,w25.png,,,,,,,,93.5864,94.2948,j,1,0.647,,0,4,4,20,1,實驗材料,懸,低,地名,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,94.295,94.7768,,,,,,,,,,0,f,w80.png,,,,,,,,94.7771,96.1511,f,1,1.3237,,0,5,5,69,1,filler_假詞,,,煮配,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,96.1513,96.6287,,,,,,,,,hāu-senn/hāu-sinn,1,j,w45.png,,,,,,,,96.6291,97.7338,j,1,1.0447,,0,6,6,36,1,filler_純台語詞,,,後生,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,97.734,98.2106,,,,,,,,,,0,f,w52.png,,,,,,,,98.211,99.8809,f,1,1.6104,,0,7,7,41,1,filler_假詞,,,頭舌,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,99.8813,100.3603,,,,,,,,,uî-pio,1,j,w13.png,,,,,,,,100.3605,101.8962,j,1,1.4697,,0,8,8,10,1,實驗材料,低,低,圍標,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,101.8966,102.3744,,,,,,,,,su-uî,1,j,w32.png,,,,,,,,102.3746,103.2842,j,1,0.8499,,0,9,9,25,1,實驗材料,低,懸,思維,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,103.2845,103.7702,,,,,,,,,,0,f,w77.png,,,,,,,,103.7705,105.3298,f,1,1.4941,,0,10,10,66,1,filler_假詞,,,土悲,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,105.3302,105.8399,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,,,105.8401,106.7171,j,1,0.8428,,0,11,11,16,1,實驗材料,懸,低,收聽,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,106.7175,107.203,,,,,,,,,tsâi-bū,1,j,w35.png,,,,,,,,107.2031,107.8679,j,1,0.5993,,0,12,12,28,1,實驗材料,低,懸,財務,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,107.8681,108.3771,,,,,,,,,tsha-ī,1,j,w34.png,,,,,,,,108.3774,109.1251,j,1,0.7105,,0,13,13,27,1,實驗材料,低,懸,差異,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,109.1252,109.6135,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,,,109.6137,110.247,j,1,0.5713,,0,14,14,2,1,實驗材料,懸,懸,問題,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,110.2472,110.7335,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,,,110.7337,111.3935,j,1,0.5989,,0,15,15,18,1,實驗材料,懸,低,母語,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,111.3938,111.8748,,,,,,,,,khe-tsuí/khue-tsuí,1,j,w27.png,,,,,,,,111.8752,112.5382,j,1,0.6013,,0,16,16,22,1,實驗材料,懸,低,溪水,,
,,,,,024333,女,34,A1,2026-04-30_17h40.23.948,ldt,2025.1.1,Win32,30.03003003,,,,,,112.5385,113.0189,,,,,,,,,,0,f,w79.png,,,,,,,,113.0191,115.2301,j,0,2.1599,,0,17,17,68,1,filler_假詞,,,熱條,,
