hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.0004,27.8943,space,27.8803,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,27.8946,35.6946,space,7.7879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,35.6993,36.1944,36.1951,38.7779,f,2.5474,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,38.7787,39.2776,39.2782,41.6943,f,2.3816,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,41.6948,42.1942,42.1948,43.1443,j,0.9171,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,43.1448,43.6432,43.6435,45.6774,j,1.9872,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,,,,,,,,,,,,,,,,,45.6779,48.7777,space,3.0825,,,,,,,,,,,,,,,,
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,48.7833,49.2774,,,,,,,,,,,,0,f,w87.png,,,,,,49.2781,51.0103,f,1,1.6994,,0,0,0,76,1,filler_假詞,,,大無
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,51.0109,51.5108,,,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,51.5113,53.2775,j,1,1.7328,,0,1,1,17,1,實驗材料,懸,低,放射
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,53.278,53.7775,,,,,,,,,,,hām-bîn,1,j,w44.png,,,,,,53.778,55.8939,j,1,2.0898,,0,2,2,35,1,filler_純台語詞,,,陷眠
