hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.0002,17.1271,space,17.1001,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,17.1272,31.2314,space,14.0832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,31.2375,31.7233,31.7253,34.6735,j,2.8723,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,34.6759,35.1807,35.1811,40.1729,,,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,40.1747,40.673,40.6748,45.6727,,,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,45.6747,46.1724,46.1739,51.1723,,,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,51.1738,61.5054,space,10.2978,,,,,,,,,,,,,,
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,61.5105,62.0047,,,,,,,,,,,,0,f,w58.png,,,,,,62.007,67.0059,,0,0,0,0,47,1,filler_假詞,,,輕牛
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,67.0074,67.5049,,,,,,,,,,,,0,f,w77.png,,,,,,67.5067,72.5045,,0,0,1,1,66,1,filler_假詞,,,土悲
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,72.5059,72.9993,,,,,,,,,,,i-kì/i-kù,1,j,w33.png,,,,,,72.9996,78.8465,,0,0,2,2,26,1,實驗材料,低,懸,依據
,,,,,276241,生理男,25,B2,2026-04-30_23h52.32.954,ldt,2025.1.1,Win32,59.88023952,,,,,,78.8466,78.8466,,,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,78.8467,83.506,,0,0,3,3,5,1,實驗材料,懸,懸,出去
