hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0004,17.7434,space,17.7138,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,17.7436,21.4089,space,3.6446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,21.4126,21.906,21.9076,26.9132,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,26.9141,27.4062,27.4073,32.4043,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,32.4054,32.9132,32.9142,37.9044,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,37.9053,38.4044,38.4053,43.4044,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,,,,,,,,,,,,,,,43.4053,47.1725,space,3.7451,,,,,,,,,,,,,,,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,47.1805,47.6711,,,,,,,,,,0,f,w66.png,,,,,,47.6723,52.664,,0,0,0,0,55,1,filler_假詞,,,冒張,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,52.6648,53.163,,,,,,,,,,0,f,w90.png,,,,,,53.1637,58.1711,,0,0,1,1,79,1,filler_假詞,,,失務,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,58.172,58.6715,,,,,,,,,i-kì/i-kù,1,j,w33.png,,,,,,58.6721,63.6713,,0,0,2,2,26,1,實驗材料,低,懸,依據,,
