hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0006,28.6992,space,28.6339,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,28.6995,39.2139,space,10.4758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,39.2221,39.6895,39.6901,44.6947,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,44.6954,45.2236,45.224,47.411,j,0,1,1,0,1,__,1,j,w40.png,2.1346,,,,,,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,47.4114,47.9006,47.901,48.9491,j,0,2,2,2,1,__,1,j,w49.png,0.9567,,,,,,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,48.9504,49.4432,49.4436,51.1402,j,0,3,3,3,1,__,0,f,w97.png,1.6064,,,,,,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,,,,,,,,,,,,,,,,,51.1405,60.427,space,9.2534,,,,,,,,,,,,,,,,,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,60.4335,60.9272,,,,,,,,,,0,f,w64.png,,,,,,,,60.9279,63.7447,f,1,2.7633,,0,0,0,53,1,filler_假詞,,,莖白,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,63.7453,64.2377,,,,,,,,,su-iàu,1,j,w4.png,,,,,,,,64.238,65.1207,j,1,0.7908,,0,1,1,3,1,實驗材料,懸,懸,需要,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,65.1211,65.6099,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,,,65.6102,66.3742,j,1,0.6728,,0,2,2,21,1,實驗材料,懸,低,救命,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,66.3749,66.8653,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,,,66.8658,67.9575,f,0,1.0035,,0,3,3,11,1,實驗材料,低,低,拖吊,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,67.958,68.4561,,,,,,,,,,0,f,w62.png,,,,,,,,68.4565,70.1653,f,1,1.6179,,0,4,4,51,1,filler_假詞,,,慌沉,,
