hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.0002,20.0434,space,20.014,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,20.0441,50.8247,space,30.7551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,50.8292,51.3241,51.3251,56.3231,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,56.325,56.8228,56.8232,61.8223,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,61.8226,62.3222,62.3225,67.322,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,67.3224,67.8224,67.8228,72.8217,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,72.822,86.4547,space,13.6143,,,,,,,,,,,,,,,,
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,86.4596,86.9546,,,,,,,,,,0,f,w76.png,,,,,,86.9549,91.0714,f,1,4.0818,,0,0,0,65,1,filler_假詞,,,製般
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,91.0734,91.5718,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,91.5733,96.2714,f,0,4.6624,,0,1,1,11,1,實驗材料,低,低,拖吊
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,96.2728,96.7712,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,96.7725,101.5874,f,0,4.7849,,0,2,2,17,1,實驗材料,懸,低,放射
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,101.5887,102.0876,,,,,,,,,tsha-ī,1,j,w34.png,,,,,,102.0888,104.2378,j,1,2.1157,,0,3,3,27,1,實驗材料,低,懸,差異
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,104.2393,104.7377,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,104.7392,107.6868,f,0,2.9194,,0,4,4,16,1,實驗材料,懸,低,收聽
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,107.6874,108.1874,,,,,,,,,,0,f,w69.png,,,,,,108.1892,112.2707,f,1,4.0485,,0,5,5,58,1,filler_假詞,,,把氣
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,112.2719,112.7704,,,,,,,,,,0,f,w60.png,,,,,,112.7715,117.7709,,0,,,0,6,6,49,1,filler_假詞,,,豬力
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,117.7722,118.2705,,,,,,,,,,0,f,w81.png,,,,,,118.272,118.4202,f,1,0.1165,,0,7,7,70,1,filler_假詞,,,部斑
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,118.4214,118.9204,,,,,,,,,,0,f,w87.png,,,,,,118.9223,122.8034,f,1,3.8468,,0,8,8,76,1,filler_假詞,,,大無
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,122.8049,123.3034,,,,,,,,,,0,f,w59.png,,,,,,123.3052,126.6367,f,1,3.2972,,0,9,9,48,1,filler_假詞,,,貓快
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,126.6384,127.1367,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,127.1386,132.1283,,0,,,0,10,10,2,1,實驗材料,懸,懸,問題
,,,,,394008,女,55,C1,2026-05-01_16h59.56.635,ldt,2025.1.1,Win32,59.88023952,,,,,,132.1286,132.6364,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,132.6376,139.2375,,0,,,0,11,11,15,1,實驗材料,低,低,控訴
