hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0005,25.6363,space,25.6176,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,25.6364,30.4994,space,4.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,30.5016,30.9946,30.995,32.8195,f,1.7837,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,32.8199,33.3195,33.3199,34.4244,j,1.0859,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,34.4246,34.9191,34.9194,35.9693,j,1.0187,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,35.9695,36.4664,36.4667,37.4671,f,0.9742,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,37.4673,39.3988,space,1.9229,,,,,,,,,,,,,,,,,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,39.401,39.8942,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,39.8944,40.8108,j,1,0.889,,0,0,0,21,1,實驗材料,懸,低,救命,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,40.8111,41.3109,,,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,41.3112,42.2608,j,1,0.9278,,0,1,1,39,1,filler_純台語詞,,,橫直,,
,,,,,464963,男,27,0,2026-05-01_20h17.02.940,ldt,2025.1.1,Win32,120.4819277,,,,,,42.261,42.7642,,,,,,,,,,,,0,f,w56.png,,,,,,42.7645,43.9858,f,1,1.2007,,0,2,2,45,1,filler_假詞,,,心果,,
