hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0001,19.0638,space,19.0325,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,19.0639,29.0767,space,9.9942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,29.0794,29.5756,29.5772,34.5588,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,34.5594,35.0752,35.0759,40.0792,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,40.0795,40.5739,40.5742,45.5732,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,45.5738,46.0736,46.074,51.0774,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,51.0778,58.1436,space,7.039,,,,,,,,,,,,,,,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,58.1465,58.6447,,,,,,,,,tsha-ī,1,j,w34.png,,,,,,58.6451,63.6417,,0,0,0,0,27,1,實驗材料,低,懸,差異,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,63.6423,64.1382,,,,,,,,,gāi-gio̍h,1,j,w43.png,,,,,,64.1389,69.1366,,0,0,1,1,34,1,filler_純台語詞,,,礙虐,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,69.1374,69.6413,,,,,,,,,,0,f,w71.png,,,,,,69.6416,74.6504,,0,0,2,2,60,1,filler_假詞,,,力巧,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,74.6507,75.136,,,,,,,,,jiá-hō/liá-hō,1,j,w11.png,,,,,,75.1366,80.1367,,0,0,3,3,8,1,實驗材料,低,低,惹禍,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,80.1374,80.6345,,,,,,,,,hām-bîn,1,j,w44.png,,,,,,80.6348,85.6405,,0,0,4,4,35,1,filler_純台語詞,,,陷眠,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,85.6408,86.1372,,,,,,,,,,0,f,w81.png,,,,,,86.1378,91.1403,,0,0,5,5,70,1,filler_假詞,,,部斑,,
,,,,,474655,女,60,284,2026-05-02_15h56.22.999,ldt,2025.1.1,Win32,60.24096386,,,,,,91.1405,91.6341,,,,,,,,,khai-sí,1,j,w2.png,,,,,,91.6348,96.6527,,0,0,6,6,1,1,實驗材料,懸,懸,開始,,
