hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,trialkeyboard.rt,trialkeyboard.duration
0.0002,23.0252,space,23.0137,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,23.0255,43.1252,space,20.0828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,43.1283,43.6272,43.6277,48.6195,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,48.6197,49.1193,49.1197,54.1247,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,54.1254,54.6247,54.6249,59.6246,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,59.6249,60.1247,60.1252,65.1246,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,,,,,,,,,,,,,,,65.1249,68.8915,space,3.7507,,,,,,,,,,,,,,,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,68.8938,69.3912,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,69.3916,74.3913,,0,0,0,0,2,1,實驗材料,懸,懸,問題,,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,74.3917,74.8912,,,,,,,,,,0,f,w55.png,,,,,,74.8913,78.5579,f,1,0,1,1,44,1,filler_假詞,,,苦碗,3.6362,
,,,,,497598,女,35,B2,2026-04-30_23h04.03.426,ldt,2025.1.1,Win32,120.4819277,IwY2xjawRgTnxleHRuA2FlbQIxMABicmlkETFsZWU4OER3RTJQNFR4ZnA4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt5r3XaYDn1BbHVIzo03aJvFpvXgBoJnEnYKNAvADeQpKfbGn_iFq2o0caaJ_aem_DEtrOU3hMRSSa6hGGh9RzQ,,,,,,78.5582,79.0579,,,,,,,,,,0,f,w85.png,,,,,,79.0582,81.5912,f,1,0,2,2,74,1,filler_假詞,,,素鼠,2.5169,
