hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0002,40.7824,space,40.7643,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,40.7826,42.2972,space,1.4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,42.3004,42.8031,42.8033,45.1978,f,2.3553,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,45.1981,45.7165,45.7167,47.2507,f,1.4987,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,47.2508,47.7425,47.7426,48.9513,j,1.1433,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,48.9515,49.4529,49.453,51.0472,f,1.5557,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,,,,,,,,,,,,,,,,,51.0476,55.3992,space,4.3135,,,,,,,,,,,,,,,,,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,55.408,55.8861,,,,,,,,,,,,0,f,w54.png,,,,,,55.8864,56.8679,f,1,0.9094,,0,0,0,43,1,filler_假詞,,,狗人,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,56.8681,57.3523,,,,,,,,,,,,0,f,w59.png,,,,,,57.3525,58.9048,f,1,1.4794,,0,1,1,48,1,filler_假詞,,,貓快,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,58.905,59.3992,,,,,,,,,,,gāi-gio̍h,1,j,w43.png,,,,,,59.3994,60.3132,j,1,0.8449,,0,2,2,34,1,filler_純台語詞,,,礙虐,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,60.3134,60.8189,,,,,,,,,,,,0,f,w52.png,,,,,,60.8191,62.3231,f,1,1.4664,,0,3,3,41,1,filler_假詞,,,頭舌,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,62.3233,62.8255,,,,,,,,,,,,0,f,w79.png,,,,,,62.8256,64.1891,f,1,1.3406,,0,4,4,68,1,filler_假詞,,,熱條,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,64.1894,64.6789,,,,,,,,,,,guân-lâi,1,j,w5.png,,,,,,64.6791,65.5934,j,1,0.8519,,0,5,5,4,1,實驗材料,懸,懸,原來,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,65.5936,66.083,,,,,,,,,,,,0,f,w73.png,,,,,,66.0831,67.9889,f,1,1.8371,,0,6,6,62,1,filler_假詞,,,腹伏,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,67.989,68.4961,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,68.4964,69.5845,f,0,1.0423,,0,7,7,30,1,實驗材料,低,懸,支付,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,69.5847,70.0736,,,,,,,,,,,hôo-sîn,1,j,w47.png,,,,,,70.0737,71.0665,j,1,0.9148,,0,8,8,38,1,filler_純台語詞,,,胡蠅,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,71.0668,71.5656,,,,,,,,,,,tsha-ī,1,j,w34.png,,,,,,71.5657,73.7511,j,1,2.1153,,0,9,9,27,1,實驗材料,低,懸,差異,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,73.7513,74.2459,,,,,,,,,,,,0,f,w78.png,,,,,,74.2461,75.9628,j,0,1.6611,,0,10,10,67,1,filler_假詞,,,假闊,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,75.963,76.4558,,,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,76.456,77.3347,j,1,0.8144,,0,11,11,2,1,實驗材料,懸,懸,問題,,
