hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,39.1583,space,39.1085,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,39.1586,45.2509,space,6.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,45.2607,45.7512,45.7522,50.7551,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,50.7556,51.255,51.2556,56.2434,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,56.2444,56.7438,56.7448,61.7455,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,61.7464,62.2449,62.2466,67.2493,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,67.2502,118.7485,space,51.4724,,,,,,,,,,,,,,,,,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,118.7622,119.2506,,,,,,,,,khe-tsuí/khue-tsuí,1,j,w27.png,,,,,,119.2519,121.116,j,1,1.8031,,0,0,0,22,1,實驗材料,懸,低,溪水,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,121.1164,121.6141,,,,,,,,,hām-bîn,1,j,w44.png,,,,,,121.6154,123.185,j,1,1.5016,,0,1,1,35,1,filler_純台語詞,,,陷眠,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,123.1856,123.6835,,,,,,,,,liáu-kái,1,j,w7.png,,,,,,123.6848,124.4903,j,1,0.7405,,0,2,2,6,1,實驗材料,懸,懸,了解,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,124.4912,124.9887,,,,,,,,,,0,f,w75.png,,,,,,124.9899,126.9906,f,1,1.9343,,0,3,3,64,1,filler_假詞,,,野吉,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,126.9914,127.4914,,,,,,,,,,0,f,w81.png,,,,,,127.4928,129.3256,f,1,1.7746,,0,4,4,70,1,filler_假詞,,,部斑,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,129.3262,129.8259,,,,,,,,,,0,f,w54.png,,,,,,129.8266,131.3274,f,1,1.4626,,0,5,5,43,1,filler_假詞,,,狗人,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,131.328,131.8278,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,131.8284,132.6786,j,1,0.8121,,0,6,6,18,1,實驗材料,懸,低,母語,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,132.6792,133.179,,,,,,,,,,0,f,w62.png,,,,,,133.1796,135.3144,f,1,2.097,,0,7,7,51,1,filler_假詞,,,慌沉,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,135.3149,135.8148,,,,,,,,,,0,f,w73.png,,,,,,135.8154,138.5637,f,1,2.7133,,0,8,8,62,1,filler_假詞,,,腹伏,,
