hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.0002,22.3064,space,22.29,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,22.3066,40.9228,space,18.5994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,40.929,41.4195,41.4199,43.2057,j,1.729,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,43.2062,43.7023,43.7026,46.5525,j,2.7935,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,46.5529,47.0524,47.0531,50.4725,f,3.3871,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,50.4746,50.9693,50.9695,55.9689,,,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,55.9692,60.7692,space,4.7769,,,,,,,,,,,,,,,,
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,60.772,61.2689,,,,,,,,,,,,0,f,w60.png,,,,,,61.2694,63.3689,f,1,2.0597,,0,0,0,49,1,filler_假詞,,,豬力
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,63.3693,63.8689,,,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,63.869,64.8187,j,1,0.9221,,0,1,1,5,1,實驗材料,懸,懸,出去
,,,,,758197,男,31,B1,2026-05-02_16h34.21.944,ldt,2025.1.1,Win32,59.52380952,,,,,,64.8189,65.3188,,,,,,,,,,,su-uî,1,j,w32.png,,,,,,65.3191,66.3354,j,1,0.9805,,0,2,2,25,1,實驗材料,低,懸,思維
