hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,trialkeyboard.rt,trialkeyboard.duration,thanksroutine.started,thanksroutine.stopped
9.99999E-05,14.5079,space,14.4834,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,14.508,30.7578,space,16.2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,30.7598,31.258,31.2583,36.2463,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,36.2468,36.7465,36.7468,41.7522,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,41.7524,42.2521,42.2523,47.257,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,47.2573,47.7577,47.758,52.748,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,,,,,,,,,,,,,,,52.7482,55.0149,space,2.2263,,,,,,,,,,,,,,,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,55.0171,55.5154,,,,,,,,,,0,f,w61.png,,,,,,55.5162,60.5039,,0,0,0,0,50,1,filler_假詞,,,呆膽,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,60.5042,61.0041,,,,,,,,,,0,f,w82.png,,,,,,61.0047,66.0093,,0,0,1,1,71,1,filler_假詞,,,食轉,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,66.0095,66.5096,,,,,,,,,,0,f,w59.png,,,,,,66.5098,71.5148,,0,0,2,2,48,1,filler_假詞,,,貓快,,,,
