hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,trialloop.order
0.0002,26.5481,space,26.5341,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,26.5482,28.3997,space,1.8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,28.4017,28.8997,28.8999,33.8883,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,33.8885,34.3981,34.3983,39.4005,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,39.4007,39.9002,39.9005,44.9005,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,44.9007,45.4006,45.4009,50.4009,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,,,,,,,,,,,,,,,50.4009,62.5186,space,12.1002,,,,,,,,,,,,,,,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,62.5209,63.0181,,,,,,,,,,0,f,w55.png,,,,,,63.0184,68.0172,,0,0,0,0,44,1,filler_假詞,,,苦碗,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,68.0175,68.5184,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,68.5186,73.5175,,0,0,1,1,11,1,實驗材料,低,低,拖吊,
,,,,,978686,無,50,C,2026-05-01_04h51.01.731,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRgn9VleHRuA2FlbQIxMABicmlkETF5TDgwU0VuVzZQVHBIeDZ3c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrpSAkp0avG8FcmyPW05z0HHc10nmmr38gIAchyv_vQS_c4TiE-fMhbIZyyS_aem_--Nd-H6au-kICJz8pSyYcA,,,,,,73.518,74.019,,,,,,,,,,0,f,w89.png,,,,,,74.0192,79.0192,,0,0,2,2,78,1,filler_假詞,,,義活,
