hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,26.449,space,26.4248,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,26.4494,42.6193,space,16.1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,42.6325,43.1132,43.1142,44.9523,f,1.7594,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,44.9528,45.4466,45.4471,46.8288,j,1.3231,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,46.8293,47.3179,47.3183,48.5129,j,1.145,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,48.5133,49.013,49.0143,50.1783,f,1.1233,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,,,,,,,,,,,,,,,,,50.1785,52.6618,space,2.4671,,,,,,,,,,,,,,,,,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,52.6688,53.1615,,,,,,,,,,,,0,f,w68.png,,,,,,53.162,54.0965,f,1,0.8965,,0,0,0,57,1,filler_假詞,,,變縱,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,54.0975,54.595,,,,,,,,,,,jiá-hō/liá-hō,1,j,w11.png,,,,,,54.5953,55.8109,f,0,1.1605,,0,1,1,8,1,實驗材料,低,低,惹禍,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,55.8113,56.3141,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,56.3146,57.961,f,0,1.6031,,0,2,2,29,1,實驗材料,低,懸,學會,,
